station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1120923,1120923,小佐野,,,11209,3,026-0052,釜石市小佐野町１,141.836515,39.264464,0000-00-00,0000-00-00,0,1120923
1120924,1120924,釜石,,,11209,3,026-0031,釜石市鈴子町,141.87267,39.273321,0000-00-00,0000-00-00,0,1120924
1121001,1123174,北上,,,11210,3,024-0061,北上市大通り１丁目,141.121221,39.281196,0000-00-00,0000-00-00,0,1121001
1121002,1121002,柳原,,,11210,3,024-0083,北上市柳原町１丁目,141.111671,39.294597,0000-00-00,0000-00-00,0,1121002
1121003,1121003,江釣子,,,11210,3,024-0071,北上市上江釣子,141.075749,39.298349,0000-00-00,0000-00-00,0,1121003
1121004,1121004,藤根,,,11210,3,024-0334,北上市和賀町藤根,141.039571,39.301064,0000-00-00,0000-00-00,0,1121004
1121005,1121005,立川目,,,11210,3,024-0332,北上市和賀町竪川目,140.997144,39.307876,0000-00-00,0000-00-00,0,1121005
1121006,1121006,横川目,,,11210,3,024-0331,北上市和賀町横川目,140.972143,39.309255,0000-00-00,0000-00-00,0,1121006
1121007,1121007,岩沢,,,11210,3,024-0325,北上市和賀町岩沢,140.931616,39.301016,0000-00-00,0000-00-00,0,1121007
1121008,1121008,和賀仙人,,,11210,3,024-0326,北上市和賀町仙人,140.909485,39.308523,0000-00-00,0000-00-00,0,1121008
1121009,1121009,ゆだ錦秋湖,,,11210,3,029-5513,和賀郡西和賀町耳取４９地割,140.835343,39.295513,0000-00-00,0000-00-00,0,1121009
1121010,1121010,ほっとゆだ,,,11210,3,029-5512,和賀郡西和賀町川尻４０地割,140.775647,39.314493,0000-00-00,0000-00-00,0,1121010
1121011,1121011,ゆだ高原,,,11210,3,029-5523,和賀郡西和賀町白木野６７地割,140.737205,39.301074,0000-00-00,0000-00-00,0,1121011
1121012,1121012,黒沢,,,11210,5,019-1103,秋田県横手市山内黒沢字蒲坂57,140.699619,39.276243,0000-00-00,0000-00-00,0,1121012
1121013,1121013,小松川,,,11210,5,019-1102,横手市山内小松川,140.646094,39.293403,0000-00-00,0000-00-00,0,1121013
1121014,1121014,平石,,,11210,5,019-1108,横手市山内土渕,140.628457,39.291678,0000-00-00,2022-03-12,2,1121014
1121015,1121015,相野々,,,11210,5,019-1108,横手市山内土渕,140.619067,39.27805,0000-00-00,0000-00-00,0,1121015
1121016,1121016,矢美津,,,11210,5,019-1109,横手市山内大沢,140.592099,39.291283,0000-00-00,2022-03-12,2,1121016
1121017,1120217,横手,,,11210,5,013-0036,横手市駅前町,140.5604,39.310146,0000-00-00,0000-00-00,0,1121017
1121101,1123185,盛岡,,,11211,3,020-0034,盛岡市盛岡駅前通,141.136599,39.701547,0000-00-00,0000-00-00,0,1121101
1121118,1121118,前潟,,,11211,3,020-0143,岩手県盛岡市上厨川前潟153-1,141.101,39.713028,2023-03-18,0000-00-00,0,1121101
1121102,1121102,大釜,,,11211,3,020-0731,岩手県滝沢市篠木明法,141.072202,39.711586,0000-00-00,0000-00-00,0,1121102
1121103,1121103,小岩井,,,11211,3,020-0757,岩手県滝沢市大釜風林19-2,141.02465,39.709731,0000-00-00,0000-00-00,0,1121103
1121104,1121104,雫石,,,11211,3,020-0524,岩手郡雫石町寺の下,140.974762,39.689244,0000-00-00,0000-00-00,0,1121104
1121105,1121105,春木場,,,11211,3,020-0583,岩手郡雫石町大字上野,140.943954,39.693396,0000-00-00,0000-00-00,0,1121105
1121106,1121106,赤渕,,,11211,3,020-0581,岩手郡雫石町大字御明神,140.907222,39.685112,0000-00-00,0000-00-00,0,1121106
1121107,1121107,田沢湖,,,11211,5,014-1201,仙北市田沢湖生保内,140.722139,39.700363,0000-00-00,0000-00-00,0,1121107
1121108,1121108,刺巻,,,11211,5,014-1202,仙北市田沢湖刺巻,140.69196,39.668563,0000-00-00,0000-00-00,0,1121108
1121109,1121109,神代,,,11211,5,014-1113,仙北市田沢湖卒田,140.627358,39.622667,0000-00-00,0000-00-00,0,1121109
1121110,1121110,生田,,,11211,5,014-1114,仙北市田沢湖神代,140.601203,39.612065,0000-00-00,0000-00-00,0,1121110
1121111,1121111,角館,,,11211,5,014-0373,仙北市角館町岩瀬,140.570988,39.591716,0000-00-00,0000-00-00,0,1121111
1121112,1121112,鶯野,,,11211,5,014-0201,大仙市下鶯野,140.557901,39.568536,0000-00-00,0000-00-00,0,1121112
1121113,1121113,羽後長野,,,11211,5,014-0207,大仙市長野,140.540448,39.546003,0000-00-00,0000-00-00,0,1121113
1121114,1121114,鑓見内,,,11211,5,014-0205,大仙市鑓見内,140.527744,39.519323,0000-00-00,0000-00-00,0,1121114
1121115,1121115,羽後四ツ屋,,,11211,5,014-0102,大仙市四ツ屋,140.511886,39.501511,0000-00-00,0000-00-00,0,1121115
